+--------+--------------+-------+--------+-------+-------------+------+-----------+---------+----------+
| Device | Interface ID | Speed | Status | State | Last Change | Desc | Vlan Name | Vlan ID | New Port |
+--------+--------------+-------+--------+-------+-------------+------+-----------+---------+----------+
+--------+--------------+-------+--------+-------+-------------+------+-----------+---------+----------++--------------+--------------+------------+--------+-------+------------------+-------+---------------+---------+----------+
|    Device    | Interface ID |   Speed    | Status | State |   Last Change    | Desc  |   Vlan Name   | Vlan ID | New Port |
+--------------+--------------+------------+--------+-------+------------------+-------+---------------+---------+----------+
| Aus-310-vfsw |    Gi2/1     | 100000000  |  used  |  up   | 2020-11-23 13:04 | D.45  |    default    |    1    |  1/0/1   |
| Aus-310-vfsw |    Gi2/2     | 100000000  |  used  |  up   | 2020-11-23 13:05 | D.147 |    default    |    1    |  1/0/2   |
| Aus-310-vfsw |    Gi2/3     | 100000000  |  used  |  up   | 2020-11-23 13:07 | D.149 |    default    |    1    |  1/0/3   |
| Aus-310-vfsw |    Gi2/4     | 100000000  |  used  |  up   | 2020-11-23 13:07 | D.155 |    default    |    1    |  1/0/4   |
| Aus-310-vfsw |    Gi2/5     | 100000000  |  used  |  up   | 2020-11-23 13:09 | D.157 | Voice_Over_IP |   503   |  1/0/5   |
| Aus-310-vfsw |    Gi2/6     | 100000000  |  used  |  up   | 2020-11-23 13:09 | D.159 | Voice_Over_IP |   503   |  1/0/6   |
| Aus-310-vfsw |    Gi2/7     | 1000000000 |  free  | down  | 2020-11-23 13:09 | D.161 | Voice_Over_IP |   503   |  1/0/7   |
| Aus-310-vfsw |    Gi2/8     | 100000000  |  used  |  up   | 2022-03-25 10:50 | D.615 | Voice_Over_IP |   503   |  1/0/8   |
| Aus-310-vfsw |    Gi2/9     | 100000000  |  used  |  up   | 2020-11-23 12:05 | D.101 | Voice_Over_IP |   503   |  1/0/9   |
| Aus-310-vfsw |    Gi2/10    | 100000000  |  used  |  up   | 2022-04-08 12:15 | D.99  | Voice_Over_IP |   503   |  1/0/10  |
| Aus-310-vfsw |    Gi2/11    | 100000000  |  used  |  up   | 2018-01-11 11:18 | D.131 | Voice_Over_IP |   503   |  1/0/11  |
| Aus-310-vfsw |    Gi2/12    | 100000000  |  used  |  up   | 2020-11-23 12:09 | D.43  | Voice_Over_IP |   503   |  1/0/12  |
| Aus-310-vfsw |    Gi2/13    | 100000000  |  used  |  up   | 2022-03-03 13:43 | D.125 | Voice_Over_IP |   503   |  1/0/13  |
| Aus-310-vfsw |    Gi2/14    | 100000000  |  used  |  up   | 2020-11-23 12:11 | D.65  | Voice_Over_IP |   503   |  1/0/14  |
| Aus-310-vfsw |    Gi2/15    | 100000000  |  used  |  up   | 2020-11-23 12:12 | D.107 | Voice_Over_IP |   503   |  1/0/15  |
| Aus-310-vfsw |    Gi2/16    | 100000000  |  used  |  up   | 2020-11-23 12:15 | D.51  | Voice_Over_IP |   503   |  1/0/16  |
+--------------+--------------+------------+--------+-------+------------------+-------+---------------+---------+----------+
