+--------------+--------------+------------+--------+-------+------------------+-------------+-------------------+---------+----------+
|    Device    | Interface ID |   Speed    | Status | State |   Last Change    |    Desc     |     Vlan Name     | Vlan ID | New Port |
+--------------+--------------+------------+--------+-------+------------------+-------------+-------------------+---------+----------+
| Aus-310-vfsw |    Gi2/25    | 100000000  |  used  |  up   | 2020-11-23 12:26 |    D.31     |   Voice-Over-IP   |   503   |  1/0/25  |
| Aus-310-vfsw |    Gi2/26    | 100000000  |  used  |  up   | 2020-11-23 12:27 |    D.27     |   Voice-Over-IP   |   503   |  1/0/26  |
| Aus-310-vfsw |    Gi2/27    | 1000000000 |  free  | down  | 2022-01-04 15:01 |    D.77     |                   |    1    |  1/0/27  |
| Aus-310-vfsw |    Gi2/28    | 100000000  |  used  |  up   | 2021-09-20 15:36 |    D.297    |   Voice-Over-IP   |   503   |  1/0/28  |
| Aus-310-vfsw |    Gi2/29    | 100000000  |  used  |  up   | 2020-11-23 12:29 |    D.289    |   Voice-Over-IP   |   503   |  1/0/29  |
| Aus-310-vfsw |    Gi2/30    | 100000000  |  used  |  up   | 2020-11-23 12:30 |    D.295    |   Voice-Over-IP   |   503   |  1/0/30  |
| Aus-310-vfsw |    Gi2/31    | 100000000  |  used  |  up   | 2020-11-23 12:33 |    D.187    |   Voice-Over-IP   |   503   |  1/0/31  |
| Aus-310-vfsw |    Gi2/32    | 100000000  |  used  |  up   | 2020-11-24 12:16 |    D.193    |   Voice-Over-IP   |   503   |  1/0/32  |
| Aus-310-vfsw |    Gi2/33    | 100000000  |  used  |  up   | 2020-11-23 13:21 |    D.287    |   Voice-Over-IP   |   503   |  1/0/33  |
| Aus-310-vfsw |    Gi2/34    | 100000000  |  used  |  up   | 2020-11-23 13:13 |    D.195    |   Voice-Over-IP   |   503   |  1/0/34  |
